,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temp.,Wind Speed
0,Poronaysk,69,RU,1586552314,92,49.22,143.12,24.85,11.45
1,Tuktoyaktuk,40,CA,1586552316,71,69.45,-133.04,8.6,10.29
2,Santiago,0,CL,1586552272,49,-33.46,-70.65,71.73,5.82
3,Lebu,57,CL,1586552318,80,-37.62,-73.65,60.28,8.08
4,Tezu,0,IN,1586552319,33,27.92,96.17,68.14,3.62
5,Trivandrum,20,IN,1586552320,88,8.48,76.92,80.6,2.39
6,Ahipara,50,NZ,1586552322,71,-35.17,173.17,61.88,4.45
7,Coquimbo,3,CL,1586552324,64,-29.95,-71.34,68.0,11.41
8,Severo-Kuril'sk,76,RU,1586552325,94,50.68,156.12,31.15,10.96
9,Sept-Îles,90,CA,1586552256,48,50.2,-66.38,37.96,18.34
10,Port Keats,59,AU,1586552327,89,-14.25,129.55,71.49,13.82
11,Gossaigaon,0,IN,1586552328,40,26.45,89.99,72.43,5.14
12,Yellowknife,40,CA,1586552330,57,62.46,-114.35,15.76,16.11
13,Nikolskoye,20,RU,1586552331,94,59.7,30.79,30.56,4.47
14,Thibodaux,1,US,1586552332,43,29.8,-90.82,72.5,5.82
15,Tasiilaq,99,GL,1586552333,63,65.61,-37.64,26.6,3.33
16,Mar del Plata,0,AR,1586552218,72,-38.0,-57.56,65.1,13.87
17,Westport,90,US,1586552335,45,41.14,-73.36,45.82,23.04
18,Danjiangkou,87,CN,1586552337,88,32.54,111.51,43.0,0.72
19,Hilo,90,US,1586552338,65,19.73,-155.09,71.53,5.59
20,Bredasdorp,62,ZA,1586552339,82,-34.53,20.04,57.61,2.24
21,Puerto Ayora,40,EC,1586552238,66,-0.74,-90.35,82.87,4.7
22,Albany,90,US,1586552341,52,42.6,-73.97,42.12,27.51
23,Yulara,0,AU,1586552060,43,-25.24,130.99,55.4,4.7
24,Brownwood,1,US,1586552336,46,31.71,-98.99,72.93,8.05
25,Port Alfred,63,ZA,1586552045,84,-33.59,26.89,66.0,5.28
26,Ponta Delgada,20,PT,1586552237,77,37.73,-25.67,60.8,9.17
27,Plettenberg Bay,0,ZA,1586552347,60,-34.05,23.37,63.19,3.65
28,Mahébourg,40,MU,1586552104,78,-20.41,57.7,78.49,12.75
29,Yairipok,0,IN,1586552349,32,24.67,94.07,59.02,1.63
30,Rikitea,77,PF,1586552350,74,-23.12,-134.97,77.0,5.95
31,Coyhaique,90,CL,1586552179,71,-45.58,-72.07,54.27,12.75
32,Atuona,79,PF,1586552353,78,-9.8,-139.03,82.13,11.77
33,Emmett,1,US,1586552354,33,43.87,-116.5,69.46,10.29
34,Tsiroanomandidy,8,MG,1586552355,63,-18.77,46.03,65.95,3.94
35,Cidreira,3,BR,1586552225,73,-30.18,-50.21,66.56,9.04
36,Barrow,75,US,1586552102,83,71.29,-156.79,-5.8,8.05
37,Pierre,1,US,1586552359,26,44.37,-100.35,59.32,3.36
